k_apt_id,apt_id
A13589802,7787
A13589802,7795
A13511201,7792
A13590204,7789
A13590204,7796
A13590602,7777
A13789002,7007
A13789203,6829
A13789201,6832
A15086201,5999
A15086202,5997
A15010203,6001
A15010201,6050
A15010202,6000
A15010305,6005
A15010304,6004
A15010307,6002
A15010302,6003
A15010301,6075
A15010306,6006
A15010303,6052
A15086702,6095
A15086603,6007
A15086601,6054
A15010501,6096
A15010502,6008
A15010602,6055
A15010601,6009
A15089421,5953
A15089510,5942
A15089513,5956
A15089411,5946
A15088918,5951
A15088802,5957
A15001009,5941
A15001016,5950
A15001020,5954
A15001020,6155
A15001004,5945
A15088915,5948
A15001001,6038
A15001003,5952
A15088208,6067
A15001019,5944
A15001019,5955
A15001012,5947
A15076301,6101
A15001005,5940
A15076302,6100
A15089307,6122
A15088717,5943
A15088614,5949
A13508003,7852
A13508001,7854
A10024813,7896
A13508005,7655
A13579505,7970
A13508011,8025
A13579503,7988
A13591402,8068
A13508004,7660
A13592706,7645
A13592605,7650
A13592604,7653
A13592002,7844
A13508002,7647
A13579504,7847
A10024820,8125
A13592601,7933
A13508009,7849
A13508006,7899
A13579501,7937
A13579506,7651
A13579506,8024
A77777777,8207
A13508010,7966
A13508012,7967
A13508012,8134
A12289501,2849
A12186901,3562
A12186901,3563
A12071102,3218
A12071103,3280
A12071101,3217
A12011002,3216
A12071104,3363
A10025822,3500
A12109001,3548
A12187403,3547
A10026036,3891
A10026036,3900
A15786314,4423
A15704006,4428
A15704001,4755
A15704015,4653
A15786312,4425
A15786222,4438
A15786424,4435
A15786408,4430
A15786116,4421
A10027541,4776
A15786118,4420
A15704025,4590
A15776001,4697
A15704009,4418
A15786321,4441
A15704007,4652
A15786420,4419
A15786405,4427
A15785919,4434
A15786111,4432
A15704028,4424
A15704017,4436
A15704002,4537
A15704003,4748
A15786227,4426
A15786104,4429
A15786510,4437
A15704023,4422
A15786426,4431
A15776004,4440
A15786213,4433
A10026816,6154
A15003701,5937
A15003801,5939
A15003802,5938
A15003002,5934
A15003001,5935
A10026311,6064
A12007001,3197
A12007001,3266
A13813005,8610
A10026249,8834
A13813003,8466
A10025657,8720
A13813007,8464
A13813002,8468
A13813006,8470
A13873701,8540
A13813010,8469
A13813004,8592
A13813004,8704
A13886009,8463
A13813008,8467
A15210101,5136
A15210104,5214
A15210103,5138
A15210105,5215
A15210212,5206
A15210210,5131
A15210102,5303
A15210107,5135
A15210106,5207
A15210206,5134
A15210207,5302
A15210209,5212
A15210211,5132
A13375901,586
A13384403,585
A13384403,592
A13384403,761
A13310004,588
A13375902,591
A13376702,589
A13375906,681
A13375903,593
A13375907,691
A10026748,722
A10026748,723
A10026748,762
A13383801,656
A15279101,5306
A12187602,3539
A12187501,3779
A10028006,3795
A13007004,1017
A13007001,1130
A13070301,1148
A13007002,1131
A10028080,1198
A14083101,411
A14002501,394
A13790002,6838
A13790003,6837
A13790004,6835
A13778211,7241
A13778209,7632
A13778204,7271
A13778203,7212
A13778207,7238
A13778205,7239
A13778201,7174
A14209001,1886
A14287102,1885
A14070302,449
A14085101,300
A14085002,299
A13987502,2272
A13987501,2266
A13984604,2265
A13984603,2270
A13905102,2413
A13984005,2257
A13984005,2259
A13984003,2410
A13905301,2407
A13984004,2263
A13905302,2261
A10027121,2588
A10024636,2412
A13987503,2256
A13987503,2408
A13905101,2526
A13905105,2267
A13905208,2269
A13905202,2271
A13985105,2264
A13985107,2258
A13991018,2404
